,Pahare unica folosinta,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,SELROM TRADING COMPANY S.R.L.,2015-07-06,,8121.36,EURO,0,14766,39221123-5,DA7025522,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,REEVALUAREA/EVALUARE ACTIVELOR CORPORALE FIXE SECUNDARE -ANEXE CU SPECIFIC MEDICAL SI SPITALICESC,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,Marin C. Anca-Ioana PFA,2015-09-02,,6031,EURO,0,18793,79419000-4,DA7236165,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,Servicii de transport marfa,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,AZERA TRADE S.R.L.,2015-09-21,,5428.52,EURO,0,17751,60180000-3,DA7310748,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,"SERVICII DE COLECTARE, CENTRALIZARE SI MONITORIZARE INDICATORI FINANCIARI","Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,V.I.E.W. Company,2015-07-02,,3356.83,EURO,0,18462,72314000-9,DA7019669,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
, LUCRARI REPARATII CABLURI ELECTRICE,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,AEG INTERNATIONAL SERVICII SRL,2015-07-27,,2238.5,EURO,0,17018,45311000-0,DA7107581,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
, INTOCMIRE DOCUMENTATIE SI OBTINERE AUTORIZATIE DE CONSTRUIRE,"Strada Sfânta Ecaterina, București, Romania",44.424757,26.101302,AEG INTERNATIONAL SERVICII SRL,2015-08-12,,2040.17,EURO,0,18143,71322000-1,DA7160695,ADMINISTRATIA SPITALELOR SI SERVICIILOR MEDICALE BUCURESTI
,furnizare banca,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,SC CROMA RBC GROUP,2015-09-02,,23352.36,EURO,0,14671,39113600-3,DA7230607,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare bordura,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,CONCRETE MATERIALS GROUP SRL,2015-09-03,,20306,EURO,0,15866,44114200-4,DA7237449,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare si montare dale de cauciuc,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,URBANITO CITY PLAY SRL,2015-09-29,,18559.62,EURO,0,13119,33682000-4,DA7345774,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare cos de gunoi,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,SC CROMA RBC GROUP,2015-09-02,,18050.14,EURO,0,13671,34928480-6,DA7230637,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare nisip de rau,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,DIPA SRL,2015-07-07,,14993.64,EURO,0,10329,14211100-4,DA7029539,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,servicii de dezinsectie,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,PRIMOSAL S.R.L.,2015-09-08,,13093.5,EURO,0,19261,90921000-9,DA7249994,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare cos de gunoi,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,SC CROMA RBC GROUP,2015-09-02,,11732.59,EURO,0,13671,34928480-6,DA7235560,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare si montare dale de cauciuc,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,URBANITO CITY PLAY SRL,2015-09-29,,8430.03,EURO,0,13119,33682000-4,DA7345741,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare pavele,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,CONCRETE MATERIALS GROUP SRL,2015-09-03,,7896.9,EURO,0,15869,44114250-9,DA7237401,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
,furnizare si livrare filer,"ADP Parcaje Sector 6, Aleea Bistra 1, București, Romania",44.4259035,26.0484108,DRAGON OIL STAR S.R.L.,2015-09-25,,7634.54,EURO,0,16340,44921210-7,DA7335299,ADMINISTRATIA DOMENIULUI PUBLIC SI DEZVOLTARE URBANA SECTOR 6
